file,origin,attempt_id,sentence_id,duration_s,rms_dbfs,clip_ratio,active_ratio,sec_per_syl,flags,flags_dup_of,verdict
att_20260705_173818_385596_s14.mp3,synth,437,14,3.36,-21.2,0.0,0.56,0.336,,,pass
att_20260705_173820_876408_s15.mp3,synth,438,15,2.81,-19.4,0.0,0.57,0.351,,,pass
att_20260705_173823_873251_s15.mp3,synth,439,15,2.71,-19.7,0.0,0.62,0.339,,,pass
att_20260705_173826_558934_s15.mp3,synth,440,15,2.86,-19.5,0.0,0.57,0.357,,,pass
att_20260705_173829_089026_s16.mp3,synth,441,16,2.93,-21.4,0.0,0.5,0.366,,,pass
att_20260705_173831_648795_s16.mp3,synth,442,16,2.86,-21.3,0.0,0.5,0.357,,,pass
att_20260705_173834_049239_s16.mp3,synth,443,16,3.26,-21.2,0.0,0.5,0.407,,,pass
att_20260705_173836_715688_s17.mp3,synth,444,17,2.66,-23.0,0.0,0.46,0.443,,,pass
att_20260705_173839_099925_s17.mp3,synth,445,17,2.35,-22.9,0.0,0.55,0.392,,,pass
att_20260705_173841_691221_s17.mp3,synth,446,17,2.81,-23.0,0.0,0.43,0.468,,,pass
att_20260705_173844_150399_s18.mp3,synth,447,18,2.88,-20.7,0.0,0.64,0.32,,,pass
att_20260705_173846_795765_s18.mp3,synth,448,18,3.12,-20.9,0.0,0.53,0.347,,,pass
att_20260705_173849_469551_s18.mp3,synth,449,18,2.83,-20.8,0.0,0.57,0.314,,,pass
att_20260705_173852_079832_s19.mp3,synth,450,19,2.71,-21.1,0.0,0.62,0.339,,,pass
att_20260705_173854_810830_s19.mp3,synth,451,19,2.69,-20.9,0.0,0.54,0.336,,,pass
att_20260705_173857_551724_s19.mp3,synth,452,19,2.57,-20.7,0.0,0.58,0.321,,,pass
att_20260705_173900_380684_s20.mp3,synth,453,20,2.86,-22.7,0.0,0.57,0.318,,,pass
att_20260705_173902_907660_s20.mp3,synth,454,20,2.69,-22.8,0.0,0.62,0.299,,,pass
att_20260705_173905_890678_s20.mp3,synth,455,20,2.71,-22.9,0.0,0.62,0.301,,,pass
att_20260705_173908_516394_s21.mp3,synth,456,21,3.02,-20.1,0.0,0.53,0.336,,,pass
att_20260705_173911_195211_s21.mp3,synth,457,21,2.86,-20.0,0.0,0.64,0.318,,,pass
att_20260705_173913_866720_s21.mp3,synth,458,21,3.0,-20.1,0.0,0.53,0.333,,,pass
att_20260705_173916_760495_s22.mp3,synth,459,22,3.36,-22.3,0.0,0.5,0.48,,,pass
att_20260705_173919_333672_s22.mp3,synth,460,22,3.02,-22.4,0.0,0.47,0.431,,,pass
att_20260705_173922_201460_s22.mp3,synth,461,22,2.76,-22.4,0.0,0.62,0.394,,,pass
att_20260705_173925_328706_s23.mp3,synth,462,23,2.83,-21.2,0.0,0.5,0.354,,,pass
att_20260705_173929_377280_s23.mp3,synth,463,23,2.74,-20.9,0.0,0.62,0.343,,,pass
att_20260705_173932_335954_s23.mp3,synth,464,23,3.14,-21.2,0.0,0.53,0.393,,,pass
att_20260705_173936_272945_s24.mp3,synth,465,24,2.93,-23.6,0.0,0.5,0.419,,,pass
att_20260705_173939_017153_s24.mp3,synth,466,24,2.76,-22.9,0.0,0.54,0.394,,,pass
att_20260705_173941_628253_s24.mp3,synth,467,24,2.93,-21.6,0.0,0.43,0.419,,,pass
att_20260705_173944_186190_s25.mp3,synth,468,25,2.66,-22.2,0.0,0.62,0.333,,,pass
att_20260705_173946_841652_s25.mp3,synth,469,25,3.12,-22.2,0.0,0.53,0.39,,,pass
att_20260705_173949_389566_s25.mp3,synth,470,25,2.86,-22.7,0.0,0.5,0.357,,,pass
att_20260705_173951_917355_s26.mp3,synth,471,26,2.64,-24.1,0.0,0.38,0.528,,,pass
att_20260705_173954_483539_s26.mp3,synth,472,26,2.64,-23.2,0.0,0.38,0.528,,,pass
att_20260705_173957_315111_s26.mp3,synth,473,26,2.64,-23.3,0.0,0.38,0.528,,,pass
att_20260705_174000_061694_s27.mp3,synth,474,27,2.5,-23.8,0.0,0.5,0.357,,,pass
att_20260705_174002_800649_s27.mp3,synth,475,27,2.88,-24.2,0.0,0.5,0.411,,,pass
att_20260705_174006_320430_s27.mp3,synth,476,27,2.83,-23.8,0.0,0.43,0.404,,,pass
att_20260705_174009_371074_s28.mp3,synth,477,28,2.83,-21.9,0.0,0.43,0.404,,,pass
att_20260705_174012_657079_s28.mp3,synth,478,28,2.57,-21.6,0.0,0.58,0.367,,,pass
att_20260705_174015_332217_s28.mp3,synth,479,28,2.93,-21.2,0.0,0.5,0.419,,,pass
att_20260705_174018_619704_s29.mp3,synth,480,29,2.33,-21.5,0.0,0.55,0.333,,,pass
att_20260705_174021_194927_s29.mp3,synth,481,29,2.59,-22.4,0.0,0.5,0.37,,,pass
att_20260705_174024_120828_s29.mp3,synth,482,29,2.52,-22.1,0.0,0.5,0.36,,,pass
att_20260705_174026_944125_s30.mp3,synth,483,30,2.98,-20.1,0.0,0.5,0.426,,,pass
att_20260705_174029_677837_s30.mp3,synth,484,30,2.59,-20.1,0.0,0.58,0.37,,,pass
att_20260705_174032_457208_s30.mp3,synth,485,30,2.5,-20.3,0.0,0.5,0.357,,,pass
att_20260705_174035_473613_s31.mp3,synth,486,31,2.64,-20.8,0.0,0.46,0.377,,,pass
att_20260705_174038_587554_s31.mp3,synth,487,31,2.5,-20.9,0.0,0.42,0.357,,,pass
att_20260705_174042_195129_s31.mp3,synth,488,31,2.42,-20.7,0.0,0.5,0.346,,,pass
att_20260705_174045_047235_s32.mp3,synth,489,32,3.1,-21.9,0.0,0.53,0.443,,,pass
att_20260705_174048_118859_s32.mp3,synth,490,32,2.64,-22.1,0.0,0.62,0.377,,,pass
att_20260705_174051_540790_s32.mp3,synth,491,32,2.66,-21.6,0.0,0.54,0.38,,,pass
att_20260705_174056_427496_s33.mp3,synth,492,33,2.74,-19.9,0.0,0.62,0.304,,,pass
att_20260705_174100_864940_s33.mp3,synth,493,33,3.12,-20.0,0.0,0.53,0.347,,,pass
att_20260705_174105_810423_s33.mp3,synth,494,33,3.12,-20.4,0.0,0.53,0.347,,,pass
att_20260705_174110_723628_s1.mp3,synth,495,1,2.74,-18.0,0.0,0.69,0.304,,,pass
att_20260705_174116_252654_s1.mp3,synth,496,1,2.62,-18.1,0.0,0.69,0.291,,,pass
att_20260705_174121_423306_s1.mp3,synth,497,1,2.52,-18.1,0.0,0.75,0.28,,,pass
att_20260705_174125_682347_s2.mp3,synth,498,2,1.92,-20.3,0.0,0.56,0.384,,,pass
att_20260705_174129_732813_s2.mp3,synth,499,2,1.8,-19.9,0.0,0.67,0.36,,,pass
att_20260705_174134_295663_s2.mp3,synth,500,2,1.7,-20.0,0.0,0.75,0.34,,,pass
att_20260705_174139_094830_s3.mp3,synth,501,3,1.8,-18.4,0.0,0.67,0.3,,,pass
att_20260705_174143_597345_s3.mp3,synth,502,3,2.02,-18.6,0.0,0.7,0.337,,,pass
att_20260705_174147_541259_s3.mp3,synth,503,3,1.94,-18.8,0.0,0.78,0.323,,,pass
att_20260705_174152_091666_s4.mp3,synth,504,4,1.94,-20.1,0.0,0.78,0.323,,,pass
att_20260705_174156_120935_s4.mp3,synth,505,4,2.09,-19.6,0.0,0.7,0.348,,,pass
att_20260705_174159_621231_s4.mp3,synth,506,4,1.73,-19.6,0.0,0.88,0.288,,,pass
att_20260705_174202_399712_s5.mp3,synth,507,5,1.58,-20.4,0.0,0.71,0.316,,,pass
att_20260705_174205_366619_s5.mp3,synth,508,5,1.54,-19.9,0.0,0.71,0.308,,,pass
att_20260705_174208_489103_s5.mp3,synth,509,5,1.46,-20.2,0.0,0.71,0.292,,,pass
att_20260705_174211_429176_s6.mp3,synth,510,6,1.87,-20.0,0.0,0.67,0.374,,,pass
att_20260705_174214_150611_s6.mp3,synth,511,6,1.8,-19.5,0.0,0.67,0.36,,,pass
att_20260705_174216_943309_s6.mp3,synth,512,6,1.92,-19.8,0.0,0.67,0.384,,,pass
att_20260705_174220_059600_s7.mp3,synth,513,7,2.35,-19.0,0.0,0.73,0.336,,,pass
att_20260705_174223_229807_s7.mp3,synth,514,7,2.11,-18.6,0.0,0.7,0.301,,,pass
att_20260705_174226_652744_s7.mp3,synth,515,7,2.11,-18.6,0.0,0.8,0.301,,,pass
att_20260705_174229_433272_s8.mp3,synth,516,8,2.06,-20.2,0.0,0.7,0.343,,,pass
att_20260705_174232_259860_s8.mp3,synth,517,8,2.06,-20.5,0.0,0.7,0.343,,,pass
att_20260705_174235_216175_s8.mp3,synth,518,8,2.02,-19.7,0.0,0.7,0.337,,,pass
att_20260705_174238_073040_s9.mp3,synth,519,9,2.11,-19.6,0.0,0.9,0.301,,,pass
att_20260705_174241_100743_s9.mp3,synth,520,9,2.4,-19.8,0.0,0.67,0.343,,,pass
att_20260705_174244_167424_s9.mp3,synth,521,9,2.4,-19.2,0.0,0.67,0.343,,,pass
att_20260705_174247_333297_s10.mp3,synth,522,10,1.8,-22.6,0.0,0.56,0.36,,,pass
